Stage,ChangeList 1,ChangeList 2,ChangeList 3,Changelist Avg, ,Hashlite 1,Hashlite 2,Hashlite 3,Hashlite Avg, ,,
292,0.001,0.001,0.007,0.003, ,0,0.001,0.001,0.000666667, ,,
293,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
294,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
295,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
296,0.001,0.001,0.002,0.001333333, ,0,0.001,0.001,0.000666667, ,,
297,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
298,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
299,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
300,0.001,0.001,0.001,0.001, ,0.001,0.001,0,0.000666667, ,,
301,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
302,0.001,0.002,0.001,0.001333333, ,0,0,0.001,0.000333333, ,,
303,0.001,0.001,0.001,0.001, ,0.007,0.004,0.006,0.005666667, ,,
304,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
305,0.001,0.001,0.002,0.001333333, ,0,0,0,0, ,,
306,0.002,0.001,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
307,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
308,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
309,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
310,0.001,0.001,0.001,0.001, ,0.001,0.001,0,0.000666667, ,,
311,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
312,0.002,0.001,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
313,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
314,0.001,0.002,0.002,0.001666667, ,0.001,0,0.001,0.000666667, ,,
315,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
316,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
317,0.002,0.001,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
318,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
